,id_x,provinsi_x,lat_x,long_x,id_y,provinsi_y,lat_y,long_y,jarak
153,15,JAMBI,-1.49985,102.46179,12,SUMATERA UTARA,2.12579,99.37188,529.6591546656218
154,15,JAMBI,-1.49985,102.46179,13,SUMATERA BARAT,-0.75286,100.61145,221.84409343546218
155,15,JAMBI,-1.49985,102.46179,14,RIAU,0.30169,101.69065,217.89949916976127
156,15,JAMBI,-1.49985,102.46179,15,JAMBI,-1.49985,102.46179,0.0
157,15,JAMBI,-1.49985,102.46179,16,SUMATERA SELATAN,-3.32676,103.91272,259.32271380946327
158,15,JAMBI,-1.49985,102.46179,17,BENGKULU,-3.56246,102.35309,229.66970010086544
159,15,JAMBI,-1.49985,102.46179,18,LAMPUNG,-4.56169,105.35187,467.84031054677644
160,15,JAMBI,-1.49985,102.46179,19,BANGKA BELITUNG,-2.79266,106.44924,465.80161517746615
161,15,JAMBI,-1.49985,102.46179,21,KEPULAUAN RIAU,1.11699,104.11385,344.1060870118531
162,15,JAMBI,-1.49985,102.46179,31,DKI JAKARTA,-6.19392,106.82203,711.558500805367
163,15,JAMBI,-1.49985,102.46179,32,JAWA BARAT,-7.07702,107.64578,845.4244895145716
164,15,JAMBI,-1.49985,102.46179,33,JAWA TENGAH,-7.13163,110.29649,1070.6031766069027
165,15,JAMBI,-1.49985,102.46179,34,DI YOGYAKARTA,-7.85228,110.34945,1123.509557054372
166,15,JAMBI,-1.49985,102.46179,35,JAWA TIMUR,-7.49599,112.21402,1269.697037754514
167,15,JAMBI,-1.49985,102.46179,36,BANTEN,-6.41017,106.06597,676.6612129152379
168,15,JAMBI,-1.49985,102.46179,51,BALI,-8.42503,115.19479,1606.2540358146503
169,15,JAMBI,-1.49985,102.46179,52,NUSA TENGGARA BARAT,-8.61446,117.40105,1833.0788192020852
170,15,JAMBI,-1.49985,102.46179,53,NUSA TENGGARA TIMUR,-8.64686,121.17406,2218.3463073228627
171,15,JAMBI,-1.49985,102.46179,61,KALIMANTAN BARAT,-0.21465,111.42314,1006.5221821851023
172,15,JAMBI,-1.49985,102.46179,62,KALIMANTAN TENGAH,-1.72329,113.54711,1232.3936489088637
173,15,JAMBI,-1.49985,102.46179,63,KALIMANTAN SELATAN,-3.01574,115.27913,1434.0133565727049
